Competitor Name,Competition,Round,Place,Single,Average,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5
Max Park,Cubing on the Plains at Auburn 2025,Final,1,5.03,5.40,5.29,5.84,5.74,5.03,5.18
Max Park,Cubing on the Plains at Auburn 2025,Second round,1,4.91,5.25,5.32,5.22,5.60,5.22,4.91
Max Park,Cubing on the Plains at Auburn 2025,First round,1,5.15,5.63,5.52,7.31,5.15,5.82,5.56
Max Park,Santa Barbara Winter 2025,Final,1,4.97,5.88,5.52,4.97,6.13,5.99,6.52
Max Park,Santa Barbara Winter 2025,Second round,1,4.59,5.94,6.79,6.21,4.59,5.68,5.93
Max Park,Santa Barbara Winter 2025,First round,1,4.72,6.22,6.84,6.18,6.70,5.79,4.72
Max Park,CubeChella 2024,Final,1,4.80,5.34,5.19,6.21,5.61,4.80,5.22
Max Park,CubeChella 2024,Second round,1,5.16,5.47,5.62,5.62,5.18,5.16,5.69
Max Park,CubeChella 2024,First round,1,4.83,5.11,4.98,4.83,5.42,4.99,5.37
Max Park,Vegas Cubing Cup Fall 2024,Final,1,4.95,6.33,4.95,7.06,6.71,7.25,5.21
Max Park,Vegas Cubing Cup Fall 2024,Second round,1,5.99,6.48,6.35,6.46,5.99,7.32,6.64
Max Park,Vegas Cubing Cup Fall 2024,First round,1,5.25,5.59,5.52,5.98,5.25,6.08,5.27
Max Park,Temecula Valley Fall 2024,Final,1,5.46,6.24,5.46,7.08,5.91,7.29,5.73
Max Park,Temecula Valley Fall 2024,Second round,1,5.15,5.88,6.77,6.64,5.36,5.15,5.63
Max Park,Temecula Valley Fall 2024,First round,1,5.35,5.76,5.81,5.87,6.24,5.35,5.59
Max Park,Super Duper San Diego 2024,Final,1,4.73,5.90,6.18,6.08,6.03,5.60,4.73
Max Park,Super Duper San Diego 2024,Semi Final,1,4.36,5.80,6.21,5.69,4.36,5.76,5.96
Max Park,Super Duper San Diego 2024,Second round,1,4.89,5.75,5.99,6.30,5.97,5.29,4.89
Max Park,Super Duper San Diego 2024,First round,1,5.35,5.62,5.35,5.57,5.71,6.06,5.59
Max Park,Aliso Niguel Summer 2024,Final,1,5.31,5.75,6.50,5.45,5.49,5.31,6.32
Max Park,Aliso Niguel Summer 2024,Second round,1,5.28,5.49,5.40,5.57,5.28,6.47,5.49
Max Park,Aliso Niguel Summer 2024,First round,1,5.47,5.84,5.82,6.29,5.94,5.75,5.47
Max Park,Vegas Cubing Cup Summer 2024,Final,1,4.83,5.45,5.26,5.06,4.83,6.62,6.04
Max Park,Vegas Cubing Cup Summer 2024,Second round,1,5.08,6.04,5.08,5.86,6.37,5.90,6.76
Max Park,Vegas Cubing Cup Summer 2024,First round,1,5.44,5.96,6.31,5.91,5.44,6.82,5.67
Max Park,CubingUSA Western Championship 2024,Final,1,5.21,6.45,7.11,9.46,6.27,5.98,5.21
Max Park,CubingUSA Western Championship 2024,Semi Final,1,4.99,5.30,5.55,5.04,5.56,4.99,5.30
Max Park,CubingUSA Western Championship 2024,Second round,1,5.51,6.11,5.51,6.35,6.61,6.16,5.82
Max Park,CubingUSA Western Championship 2024,First round,1,5.22,5.49,5.81,5.61,5.22,5.43,5.44
Max Park,Rubik's WCA North American Championship 2024,Final,2,5.09,5.69,5.69,5.57,5.80,5.09,6.11
Max Park,Rubik's WCA North American Championship 2024,Semi Final,2,5.37,5.66,5.38,6.09,6.00,5.60,5.37
Max Park,Rubik's WCA North American Championship 2024,Second round,4,5.16,5.88,5.71,5.79,6.28,6.13,5.16
Max Park,Rubik's WCA North American Championship 2024,First round,2,4.75,5.35,5.34,6.10,5.07,4.75,5.63
Max Park,Nub Open Mission Viejo Summer 2024,Final,1,5.37,5.90,5.37,5.70,6.30,5.72,6.28
Max Park,Nub Open Mission Viejo Summer 2024,Second round,1,5.04,5.43,5.06,5.24,6.18,5.04,5.99
Max Park,Nub Open Mission Viejo Summer 2024,First round,1,4.92,5.42,4.92,6.16,5.45,4.92,5.89
Max Park,Colorado Mountain Tour - Glenwood Springs 2024,Final,1,5.40,5.80,6.27,5.61,5.55,5.40,6.23
Max Park,Colorado Mountain Tour - Glenwood Springs 2024,Second round,1,5.47,5.83,6.41,5.77,5.47,6.04,5.68
Max Park,Colorado Mountain Tour - Glenwood Springs 2024,First round,1,5.52,5.81,5.52,6.18,5.67,5.57,6.48
Max Park,Colorado Mountain Tour - Avon 2024,Final,1,5.58,6.09,9.06,6.43,6.16,5.58,5.67
Max Park,Colorado Mountain Tour - Avon 2024,Second round,1,5.04,5.63,5.04,5.40,5.92,5.67,5.81
Max Park,Colorado Mountain Tour - Avon 2024,First round,1,5.25,5.90,6.22,5.58,5.25,6.24,5.90
Max Park,Colorado Mountain Tour - Frisco 2024,Final,2,5.21,6.88,6.99,7.24,5.21,6.72,6.94
Max Park,Colorado Mountain Tour - Frisco 2024,Second round,1,5.72,6.19,5.84,7.28,5.72,5.92,6.80
Max Park,Colorado Mountain Tour - Frisco 2024,First round,1,5.77,6.48,6.71,6.74,5.77,5.99,7.32
Max Park,Colorado Mountain Tour - Evergreen 2024,Final,1,5.45,6.14,5.87,6.41,6.13,5.45,7.04
Max Park,Colorado Mountain Tour - Evergreen 2024,Second round,1,4.83,5.82,6.34,4.83,7.79,5.23,5.90
Max Park,Colorado Mountain Tour - Evergreen 2024,First round,1,5.11,5.98,6.14,5.67,5.11,6.14,6.54
Max Park,Temecula Valley Spring 2024,Final,1,5.70,6.80,6.47,7.50,6.83,7.11,5.70
Max Park,Temecula Valley Spring 2024,Second round,1,5.12,5.90,7.01,5.34,5.12,5.35,7.48
Max Park,Temecula Valley Spring 2024,First round,1,5.64,6.10,6.93,5.99,6.44,5.64,5.88
Max Park,San Diego Big Cub 2024,Final,1,4.65,5.51,5.30,5.83,7.29,5.41,4.65
Max Park,San Diego Big Cub 2024,Second round,1,5.11,5.70,5.51,5.11,5.83,5.76,6.03
Max Park,San Diego Big Cub 2024,First round,1,5.02,5.51,5.09,7.00,5.08,5.02,6.35
Max Park,Nub Open Yucaipa 2024,Final,1,4.44,5.79,6.01,4.44,5.92,5.47,5.98
Max Park,Nub Open Yucaipa 2024,Second round,1,5.04,5.76,5.86,5.21,5.04,6.21,6.31
Max Park,Nub Open Yucaipa 2024,First round,1,4.99,5.58,5.59,5.66,4.99,7.41,5.49
Max Park,Los Angeles Newcomers 2024,Final,1,5.13,5.66,5.13,5.64,5.92,5.67,5.67
Max Park,Los Angeles Newcomers 2024,Second round,1,4.81,6.05,6.71,6.01,5.44,6.85,4.81
Max Park,Los Angeles Newcomers 2024,First round,,5.41,5.82,5.77,6.20,5.93,5.41,5.76
Max Park,Baja Spring 2024,Final,1,5.04,6.11,8.98,6.76,5.71,5.04,5.87
Max Park,Baja Spring 2024,Second round,1,4.76,5.31,5.39,5.19,5.34,6.25,4.76
Max Park,Baja Spring 2024,First round,1,5.50,6.05,5.83,6.29,6.03,5.50,6.81
Max Park,DFW Megacomp 2024,Final,6,6.63,7.94,6.63,7.65,7.98,8.61,8.18
Max Park,DFW Megacomp 2024,Semi Final,1,5.45,5.99,5.86,5.45,6.57,5.54,7.61
Max Park,DFW Megacomp 2024,Second round,1,5.24,5.30,5.60,5.37,5.24,5.30,5.24
Max Park,DFW Megacomp 2024,First round,1,5.16,5.65,5.50,6.10,5.16,5.60,5.85
Max Park,Fullerton Winter 2024,Final,1,4.91,5.42,6.37,5.01,5.31,5.93,4.91
Max Park,Fullerton Winter 2024,Second round,1,6.17,6.98,6.32,7.26,7.37,6.17,7.58
Max Park,Fullerton Winter 2024,First round,1,5.06,5.46,5.06,5.92,5.08,6.12,5.39
Max Park,Triton Tricubealon 2024,Final,1,4.88,5.43,6.28,5.27,5.22,4.88,5.80
Max Park,Triton Tricubealon 2024,Semi Final,1,4.59,5.41,5.30,5.42,5.50,5.56,4.59
Max Park,Triton Tricubealon 2024,Second round,1,5.41,5.74,5.92,5.46,5.83,6.01,5.41
Max Park,Triton Tricubealon 2024,First round,1,4.97,6.02,6.82,6.17,4.97,6.86,5.07
Max Park,USC Cubing 2024,Final,1,4.98,5.84,5.14,4.98,6.08,6.29,6.68
Max Park,USC Cubing 2024,Second round,1,5.04,5.67,5.65,6.39,5.06,5.04,6.31
Max Park,USC Cubing 2024,First round,1,5.08,5.92,5.96,5.08,5.67,6.13,6.41
Ruihang Xu,Hangzhou Open 2024,Final,3,4.44,5.30,6.68,5.94,4.92,4.44,5.03
Ruihang Xu,Hangzhou Open 2024,Second round,9,5.08,6.36,7.39,5.08,6.35,6.06,6.67
Ruihang Xu,Hangzhou Open 2024,First round,3,4.05,5.11,5.22,5.64,4.46,7.11,4.05
Ruihang Xu,Rubik's WCA Asian Championship 2024,Final,8,3.24,5.83,5.73,3.24,6.96,5.75,6.01
Ruihang Xu,Rubik's WCA Asian Championship 2024,Semi Final,8,5.29,6.13,5.29,6.41,6.07,6.50,5.91
Ruihang Xu,Rubik's WCA Asian Championship 2024,Second round,1,4.39,5.03,5.13,4.99,4.98,6.99,4.39
Ruihang Xu,Rubik's WCA Asian Championship 2024,First round,4,4.53,5.11,5.36,5.70,5.26,4.53,4.71
Ruihang Xu,Korean Championship 2024,Final,1,4.00,5.38,5.79,4.00,5.52,4.84,6.28
Ruihang Xu,Korean Championship 2024,Semi Final,1,4.67,5.27,5.99,5.01,4.81,4.67,7.62
Ruihang Xu,Korean Championship 2024,Second round,1,5.21,5.82,7.52,5.83,5.21,5.74,5.89
Ruihang Xu,Korean Championship 2024,First round,1,4.32,5.59,5.79,5.09,5.90,4.32,6.04
Ruihang Xu,Xi'an Open 2024,Final,4,4.72,5.56,5.30,5.33,6.04,6.27,4.72
Ruihang Xu,Xi'an Open 2024,Semi Final,2,4.76,5.33,6.28,4.89,6.16,4.95,4.76
Ruihang Xu,Xi'an Open 2024,Second round,3,4.23,4.92,5.20,4.23,4.31,5.25,5.58
Ruihang Xu,Xi'an Open 2024,First round,3,4.63,5.53,5.94,5.99,4.63,5.69,4.97
Ruihang Xu,Chengdu Summer 2024,Final,1,5.42,5.54,5.47,5.42,5.46,7.24,5.69
Ruihang Xu,Chengdu Summer 2024,Second round,2,4.61,5.41,6.71,5.40,5.75,4.61,5.08
Ruihang Xu,Chengdu Summer 2024,First round,3,5.30,5.85,6.00,5.30,5.84,5.75,5.95
Ruihang Xu,Huzhou Open 2024,Final,1,4.09,5.74,5.92,4.09,6.69,5.35,5.96
Ruihang Xu,Huzhou Open 2024,Second round,1,4.52,4.84,4.65,5.20,5.93,4.52,4.67
Ruihang Xu,Huzhou Open 2024,First round,6,5.09,7.39,6.04,10.77,0,5.09,5.35
Ruihang Xu,Hefei Winter Open 2023,Final,1,4.60,5.75,5.82,5.59,4.60,6.30,5.84
Ruihang Xu,Hefei Winter Open 2023,Second round,3,4.96,6.04,4.96,6.15,6.05,5.93,6.86
Ruihang Xu,Hefei Winter Open 2023,First round,1,4.69,5.26,5.78,6.04,5.11,4.69,4.90
Ruihang Xu,Rubik's WCA World Championship 2023,Final,4,4.73,5.59,5.73,5.21,5.91,4.73,5.82
Ruihang Xu,Rubik's WCA World Championship 2023,Semi Final,2,4.81,5.31,4.92,6.48,5.90,5.10,4.81
Ruihang Xu,Rubik's WCA World Championship 2023,Second round,1,5.12,5.38,5.12,5.25,5.87,5.31,5.58
Ruihang Xu,Rubik's WCA World Championship 2023,First round,4,4.25,5.31,4.25,5.63,6.66,5.02,5.27
Ruihang Xu,Vietnam Championship 2023,Final,1,4.69,5.31,5.48,5.53,4.69,4.92,5.79
Ruihang Xu,Vietnam Championship 2023,Second round,1,4.01,5.01,4.01,4.87,4.60,6.12,5.56
Ruihang Xu,Vietnam Championship 2023,First round,1,4.73,5.57,6.15,5.38,8.01,4.73,5.18
Ruihang Xu,Hong Kong Small Cube Day 2023,Final,1,4.43,5.64,4.43,7.58,5.66,5.28,5.97
Ruihang Xu,Hong Kong Small Cube Day 2023,Semi Final,1,4.71,5.11,4.71,5.18,5.64,4.99,5.16
Ruihang Xu,Hong Kong Small Cube Day 2023,Second round,2,5.23,5.98,6.10,5.52,7.14,6.33,5.23
Ruihang Xu,Hong Kong Small Cube Day 2023,First round,3,4.86,6.42,7.59,6.66,6.12,6.49,4.86
Ruihang Xu,Hong Kong Cube Day 2023,Final,1,4.17,6.03,5.92,5.48,6.68,4.17,6.95
Ruihang Xu,Hong Kong Cube Day 2023,First round,1,4.73,5.84,7.54,5.92,5.34,6.25,4.73
Ruihang Xu,Singapore Championship 2023,Final,2,4.74,5.37,5.73,4.74,6.90,5.22,5.17
Ruihang Xu,Singapore Championship 2023,Semi Final,1,4.71,5.23,5.02,4.71,5.76,4.90,5.78
Ruihang Xu,Singapore Championship 2023,Second round,2,4.81,5.19,4.81,5.34,4.99,5.25,5.58
Ruihang Xu,Singapore Championship 2023,First round,2,5.50,6.03,6.72,5.56,5.82,0,5.50
Ruihang Xu,Wuhan Open 2021,Final,1,5.31,6.15,DNF,6.74,5.45,6.26,5.31
Ruihang Xu,Wuhan Open 2021,Second round,1,5.04,5.60,5.77,6.41,5.15,5.88,5.04
Ruihang Xu,Wuhan Open 2021,First round,1,4.06,5.48,5.48,5.52,5.45,4.06,7.51
Ruihang Xu,Guangdong Open 2021,Final,4,5.59,6.59,6.04,8.10,8.45,5.62,5.59
Ruihang Xu,Guangdong Open 2021,Semi Final,2,5.01,5.78,5.55,6.56,5.01,9.11,5.24
Ruihang Xu,Guangdong Open 2021,Second round,2,4.58,6.36,4.58,6.18,9.58,5.09,7.82
Ruihang Xu,Guangdong Open 2021,First round,1,4.89,5.72,6.94,5.52,6.03,4.89,5.61
Ruihang Xu,Hangzhou Open AM 2021,Final,1,5.48,5.69,5.56,6.47,5.95,5.48,5.56
Ruihang Xu,Hangzhou Open AM 2021,First round,1,4.65,5.98,6.15,5.98,4.65,5.91,6.04
Ruihang Xu,Beijing Spring PM 2021,Final,1,4.98,6.11,6.11,4.98,6.07,6.25,6.16
Ruihang Xu,Beijing Spring PM 2021,First round,1,5.17,5.96,6.46,5.80,7.23,5.17,5.62
Ruihang Xu,Shaoxing Morning 2021,Final,1,5.67,6.00,5.70,7.18,6.23,6.08,5.67
Ruihang Xu,Shaoxing Morning 2021,First round,1,6.34,7.03,6.34,6.98,7.50,7.39,6.71
Ruihang Xu,Guangzhou Panyu Morning 2021,Final,1,5.29,6.00,5.98,5.29,5.36,6.66,6.80
Ruihang Xu,Guangzhou Panyu Morning 2021,Second round,1,4.45,6.13,5.62,4.45,7.76,6.32,6.46
Ruihang Xu,Guangzhou Panyu Morning 2021,First round,1,5.20,6.65,7.27,18.56,5.20,6.20,6.48
Ruihang Xu,Nanchang Good Afternoon 2021,Final,1,5.00,6.75,6.77,5.00,8.33,6.94,6.53
Ruihang Xu,Nanchang Good Afternoon 2021,Second round,1,5.80,6.41,6.53,5.80,5.99,7.89,6.71
Ruihang Xu,Nanchang Good Afternoon 2021,First round,1,5.69,6.21,7.29,6.58,5.69,6.28,5.76
Yiheng Wang,Bangkok Cube Festival 2025,Final,1,3.82,5.61,4.42,3.82,7.43,5.41,6.99
Yiheng Wang,Bangkok Cube Festival 2025,Second round,1,4.34,5.03,4.34,5.90,5.97,4.58,4.60
Yiheng Wang,Bangkok Cube Festival 2025,First round,1,3.95,4.63,3.95,4.07,5.71,4.70,5.12
Yiheng Wang,Chongqing New Year 2025,Final,1,3.98,4.15,4.22,3.98,4.19,4.03,5.67
Yiheng Wang,Chongqing New Year 2025,Second round,1,3.44,4.46,5.52,4.48,4.04,3.44,4.85
Yiheng Wang,Chongqing New Year 2025,First round,1,4.41,4.94,4.81,4.88,5.13,5.18,4.41
Yiheng Wang,Beijing Winter 2025,Final,1,4.22,4.91,5.37,5.31,4.45,4.96,4.22
Yiheng Wang,Beijing Winter 2025,Second round,2,4.97,5.60,5.82,6.88,5.62,4.97,5.36
Yiheng Wang,Beijing Winter 2025,First round,2,4.81,5.49,4.85,5.51,6.12,4.81,6.12
Yiheng Wang,Yancheng Open 2024,Final,1,3.83,4.85,4.21,6.51,5.16,3.83,5.19
Yiheng Wang,Yancheng Open 2024,Second round,2,4.11,4.82,5.10,6.01,4.87,4.11,4.49
Yiheng Wang,Yancheng Open 2024,First round,2,4.16,4.81,5.73,4.16,4.17,4.52,5.75
Yiheng Wang,Hangzhou Open 2024,Final,1,3.92,4.54,4.92,4.13,4.57,5.57,3.92
Yiheng Wang,Hangzhou Open 2024,Second round,2,4.03,4.73,5.92,4.75,4.51,4.03,4.93
Yiheng Wang,Hangzhou Open 2024,First round,1,3.65,4.78,3.65,4.44,4.95,5.21,4.96
Yiheng Wang,Zhengzhou Open 2024,Final,1,3.84,4.05,3.84,4.25,4.14,4.13,3.87
Yiheng Wang,Zhengzhou Open 2024,Second round,1,3.78,4.66,4.77,4.65,5.89,4.57,3.78
Yiheng Wang,Zhengzhou Open 2024,First round,1,3.75,4.21,4.28,4.63,3.75,4.48,3.86
Yiheng Wang,Cool Down Singapore 2024,Final,1,4.06,4.26,4.28,4.15,4.06,4.34,5.49
Yiheng Wang,Cool Down Singapore 2024,Semi Final,1,3.90,5.22,5.46,5.24,4.97,5.48,3.90
Yiheng Wang,Cool Down Singapore 2024,Second round,1,4.28,4.65,4.28,5.20,4.39,4.89,4.66
Yiheng Wang,Cool Down Singapore 2024,First round,1,4.54,5.25,4.61,5.92,4.54,5.21,6.48
Yiheng Wang,Rubik's WCA Asian Championship 2024,Final,1,4.15,4.42,4.32,4.81,4.68,4.26,4.15
Yiheng Wang,Rubik's WCA Asian Championship 2024,Semi Final,2,3.61,5.27,3.61,5.62,5.08,5.65,5.11
Yiheng Wang,Rubik's WCA Asian Championship 2024,Second round,3,4.68,5.20,5.64,5.02,4.93,4.68,5.93
Yiheng Wang,Rubik's WCA Asian Championship 2024,First round,1,3.69,4.09,3.96,4.29,4.48,3.69,4.01
Yiheng Wang,Harbin Open 2024,Final,1,3.78,4.97,5.01,5.53,4.37,3.78,6.98
Yiheng Wang,Harbin Open 2024,Second round,1,4.37,4.77,4.74,4.64,4.92,6.71,4.37
Yiheng Wang,Harbin Open 2024,First round,1,4.32,4.59,6.66,4.32,4.64,4.82,4.32
Yiheng Wang,Guilin Open 2024,Final,1,4.28,4.50,4.50,4.36,4.28,4.64,11.05
Yiheng Wang,Guilin Open 2024,Second round,2,3.27,4.91,5.78,6.57,4.33,3.27,4.61
Yiheng Wang,Guilin Open 2024,First round,2,4.90,5.69,5.25,6.71,4.90,6.17,5.64
Yiheng Wang,Xuzhou Autumn 2024,Final,1,3.71,4.09,3.83,5.16,4.55,3.71,3.88
Yiheng Wang,Xuzhou Autumn 2024,Semi Final,1,3.96,4.64,6.41,4.60,4.73,4.58,3.96
Yiheng Wang,Xuzhou Autumn 2024,Second round,1,4.30,4.98,6.16,4.88,4.97,5.08,4.30
Yiheng Wang,Xuzhou Autumn 2024,First round,1,4.09,4.70,4.51,4.80,4.80,6.28,4.09
Yiheng Wang,Dalian Open 2024,Final,1,4.08,4.57,4.78,4.08,4.84,4.60,4.32
Yiheng Wang,Dalian Open 2024,Second round,2,4.34,5.06,5.02,4.34,6.51,5.44,4.72
Yiheng Wang,Dalian Open 2024,First round,1,4.41,4.89,5.69,4.41,4.55,4.87,5.26
Yiheng Wang,Warm Up at gateway klia2 2024,Final,1,4.09,4.85,4.63,4.09,5.19,7.91,4.72
Yiheng Wang,Warm Up at gateway klia2 2024,Semi Final,1,4.05,4.33,4.35,4.05,4.50,4.46,4.19
Yiheng Wang,Warm Up at gateway klia2 2024,Second round,1,4.02,4.52,4.66,4.02,4.18,5.50,4.73
Yiheng Wang,Warm Up at gateway klia2 2024,First round,1,3.73,4.85,5.70,5.36,3.77,5.43,3.73
Yiheng Wang,Deqing Small Cubes Summer 2024,Final,1,4.33,4.73,5.03,4.46,4.33,4.69,6.38
Yiheng Wang,Deqing Small Cubes Summer 2024,Second round,2,5.46,5.56,5.52,5.72,5.62,5.46,5.53
Yiheng Wang,Deqing Small Cubes Summer 2024,First round,1,3.96,4.25,4.76,3.98,4.81,4.00,3.96
Yiheng Wang,Xi'an Open 2024,Final,1,4.54,4.88,4.89,4.54,5.98,4.57,5.18
Yiheng Wang,Xi'an Open 2024,Semi Final,1,4.41,5.24,6.12,4.41,4.69,4.92,6.23
Yiheng Wang,Xi'an Open 2024,Second round,1,3.98,4.46,4.42,3.98,4.69,5.64,4.27
Yiheng Wang,Xi'an Open 2024,First round,4,4.68,5.70,6.94,4.79,6.95,5.38,4.68
Yiheng Wang,Australian Nationals 2024,Final,1,4.33,5.08,5.40,5.24,4.61,4.33,10.28
Yiheng Wang,Australian Nationals 2024,Semi Final,1,4.26,5.06,5.18,5.12,4.26,4.88,5.59
Yiheng Wang,Australian Nationals 2024,Second round,1,3.76,5.08,4.45,5.92,4.88,6.56,3.76
Yiheng Wang,Australian Nationals 2024,First round,1,3.98,4.95,5.06,5.08,6.13,4.72,3.98
Yiheng Wang,Philippine Championship 2024,Final,1,4.33,5.04,4.61,5.06,4.33,5.96,5.45
Yiheng Wang,Philippine Championship 2024,Semi Final,1,4.31,4.66,4.31,4.70,4.49,4.80,5.48
Yiheng Wang,Philippine Championship 2024,Second round,1,4.84,5.11,5.16,4.84,6.22,5.22,4.96
Yiheng Wang,Philippine Championship 2024,First round,1,3.97,4.36,6.11,3.97,4.48,4.59,4.02
Yiheng Wang,Johor Cube Open 2024,Final,1,4.20,4.91,4.52,4.20,5.74,4.48,6.62
Yiheng Wang,Johor Cube Open 2024,Second round,1,4.00,4.87,6.51,4.39,4.59,5.64,4.00
Yiheng Wang,Johor Cube Open 2024,First round,1,4.56,4.79,5.73,4.86,4.74,4.56,4.78
