Competitor Name,Competition,Round,Place,Single,Average,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5
Yiheng Wang,Bali Discovery Speedcubing Masters 2024,Final,1,4.19,4.79,4.63,4.89,5.01,4.84,4.19
Yiheng Wang,Bali Discovery Speedcubing Masters 2024,Second round,1,4.31,4.70,4.38,4.78,5.13,4.31,4.94
Yiheng Wang,Bali Discovery Speedcubing Masters 2024,First round,1,4.41,5.66,6.33,5.01,7.39,5.65,4.41
Yiheng Wang,Sunway Velocity Mall Open 2024,Final,1,4.08,4.97,4.89,5.20,4.08,4.83,5.85
Yiheng Wang,Sunway Velocity Mall Open 2024,Semi Final,1,4.40,5.16,5.45,4.40,4.57,5.47,6.25
Yiheng Wang,Sunway Velocity Mall Open 2024,Second round,1,4.63,5.02,5.24,4.63,5.10,7.01,4.73
Yiheng Wang,Sunway Velocity Mall Open 2024,First round,1,4.67,5.14,5.96,8.52,4.70,4.67,4.77
Yiheng Wang,Zibo Open 2024,Final,1,4.00,4.91,4.77,4.00,5.12,7.26,4.85
Yiheng Wang,Zibo Open 2024,Second round,1,4.18,5.06,5.26,4.69,5.22,6.94,4.18
Yiheng Wang,Zibo Open 2024,First round,1,4.88,5.20,4.92,7.34,4.92,4.88,5.76
Yiheng Wang,Kunshan Open 2024,Final,1,3.66,4.91,6.81,5.55,4.94,3.66,4.23
Yiheng Wang,Kunshan Open 2024,Second round,1,3.85,4.84,4.86,4.96,4.69,7.12,3.85
Yiheng Wang,Kunshan Open 2024,First round,1,4.10,4.96,4.10,6.13,5.20,4.48,5.19
Yiheng Wang,Shenyang Spring 2024,Final,1,4.31,5.05,4.57,4.31,5.42,5.95,5.16
Yiheng Wang,Shenyang Spring 2024,Second round,1,4.09,5.47,4.09,4.92,DNF,5.06,6.42
Yiheng Wang,Shenyang Spring 2024,First round,1,4.19,5.20,5.63,5.97,5.22,4.19,4.76
Luke Garrett,NxNationwide Lewis Center 2025,Final,1,5.18,6.31,5.85,6.73,5.18,6.81,6.36
Luke Garrett,NxNationwide Lewis Center 2025,Second round,2,5.16,6.24,6.69,5.16,6.70,7.73,5.32
Luke Garrett,NxNationwide Lewis Center 2025,First round,2,4.53,6.24,5.98,6.49,4.53,6.41,6.32
Luke Garrett,Naperville Winter 2025,Final,2,5.57,6.74,7.33,5.57,9.37,6.51,6.37
Luke Garrett,Naperville Winter 2025,Second round,2,5.19,6.41,6.22,5.19,6.39,9.06,6.62
Luke Garrett,Naperville Winter 2025,First round,1,5.36,5.98,5.43,6.02,5.36,6.50,8.40
Luke Garrett,Return of the Ville KY 2025,Final,2,5.08,6.36,7.96,5.41,5.08,6.86,6.81
Luke Garrett,Return of the Ville KY 2025,Second round,1,5.20,5.79,5.45,5.57,5.20,6.35,6.76
Luke Garrett,Return of the Ville KY 2025,First round,1,5.07,6.16,6.07,5.07,7.39,6.15,6.26
Luke Garrett,Ohio State Winter 2025,Final,1,5.14,5.83,5.14,5.47,6.33,6.13,5.89
Luke Garrett,Ohio State Winter 2025,Second round,1,5.01,5.72,5.36,6.26,5.53,5.01,DNF
Luke Garrett,Ohio State Winter 2025,First round,1,5.60,6.94,5.82,9.43,5.60,8.21,6.79
Luke Garrett,Gem City Ohio Showdown 2025,Final,1,4.92,5.12,5.08,4.92,5.10,5.18,7.33
Luke Garrett,Gem City Ohio Showdown 2025,Second round,1,5.65,5.92,6.04,5.67,5.65,6.61,6.06
Luke Garrett,Gem City Ohio Showdown 2025,First round,2,5.74,7.13,8.25,20.16,5.74,6.26,6.87
Luke Garrett,Michigan Mini 264 2024,Final,1,5.45,5.77,8.24,5.55,5.45,5.61,6.16
Luke Garrett,Michigan Mini 264 2024,Second round,1,4.72,5.53,4.72,6.33,4.78,5.84,5.96
Luke Garrett,Michigan Mini 264 2024,First round,1,5.54,6.65,DNF,7.69,5.68,5.54,6.57
Luke Garrett,Ohio State Nearly New Years 2024,Final,2,6.13,6.74,6.45,6.13,6.38,DNF,7.39
Luke Garrett,Ohio State Nearly New Years 2024,Second round,2,5.25,5.99,6.39,5.25,5.98,5.59,7.40
Luke Garrett,Ohio State Nearly New Years 2024,First round,1,5.59,6.16,7.46,5.59,6.24,5.68,6.56
Luke Garrett,Gallop in Kentucky Winter 2024,Final,2,5.43,6.01,5.75,5.58,5.43,6.69,7.63
Luke Garrett,Gallop in Kentucky Winter 2024,Second round,2,5.59,6.57,7.53,6.32,6.69,5.59,6.70
Luke Garrett,Gallop in Kentucky Winter 2024,First round,1,4.74,5.63,6.15,4.74,4.97,5.76,6.31
Luke Garrett,Don't Pop Preble 2024,Final,1,5.15,5.72,5.75,8.68,5.73,5.15,5.68
Luke Garrett,Don't Pop Preble 2024,Second round,2,5.14,6.39,6.67,5.99,5.14,6.91,6.52
Luke Garrett,Don't Pop Preble 2024,First round,1,4.53,5.59,5.79,6.28,5.34,4.53,5.64
Luke Garrett,Indiana Championship 2024,Final,1,5.12,5.91,6.50,6.23,5.12,5.79,5.72
Luke Garrett,Indiana Championship 2024,Semi Final,1,4.43,6.44,9.05,4.43,6.95,6.60,5.76
Luke Garrett,Indiana Championship 2024,Second round,1,4.70,5.70,8.00,5.23,4.70,6.09,5.79
Luke Garrett,Indiana Championship 2024,First round,1,4.31,4.94,6.84,4.91,5.06,4.31,4.86
Luke Garrett,Kenosha First A 2024,Final,1,4.46,6.15,6.38,5.80,4.46,6.26,10.70
Luke Garrett,Kenosha First A 2024,Second round,2,5.55,6.79,5.55,7.13,6.11,7.13,DNF
Luke Garrett,Kenosha First A 2024,First round,2,4.90,6.88,8.04,4.90,DNF,6.14,6.45
Luke Garrett,Ohio State Fall 2024,Final,1,5.01,5.69,7.48,6.11,5.67,5.01,5.30
Luke Garrett,Ohio State Fall 2024,Second round,1,4.78,5.41,5.28,5.51,8.42,4.78,5.43
Luke Garrett,Ohio State Fall 2024,First round,1,4.78,5.64,5.69,4.78,5.57,6.42,5.65
Luke Garrett,Swoop in and Solve Oxford 2024,Final,2,5.13,6.23,6.19,5.94,5.13,7.61,6.57
Luke Garrett,Swoop in and Solve Oxford 2024,Second round,1,4.22,5.80,4.22,8.55,5.10,6.29,6.01
Luke Garrett,Swoop in and Solve Oxford 2024,First round,1,5.73,6.08,6.41,5.99,7.67,5.73,5.85
Luke Garrett,WonderLand Education West Lafayette Fall 2024,Final,1,5.60,7.21,5.60,8.07,6.61,6.94,8.21
Luke Garrett,WonderLand Education West Lafayette Fall 2024,Second round,1,5.46,6.33,6.11,6.93,5.94,8.38,5.46
Luke Garrett,WonderLand Education West Lafayette Fall 2024,First round,1,5.47,6.26,5.47,6.61,6.41,5.76,6.64
Luke Garrett,Washtenaw Fall 2024,Final,1,5.16,5.48,5.16,7.13,5.16,5.95,5.32
Luke Garrett,Washtenaw Fall 2024,Second round,1,4.94,6.23,6.57,4.94,6.39,5.74,DNF
Luke Garrett,Washtenaw Fall 2024,First round,1,5.69,6.17,6.27,5.69,6.12,6.43,6.11
Luke Garrett,CubingUSA Great Lakes Championship 2024,Final,2,5.29,6.33,5.38,6.98,6.64,7.03,5.29
Luke Garrett,CubingUSA Great Lakes Championship 2024,Semi Final,2,4.68,5.90,7.10,5.63,7.39,4.68,4.98
Luke Garrett,CubingUSA Great Lakes Championship 2024,Second round,2,5.28,5.77,5.31,6.04,5.28,5.95,6.67
Luke Garrett,CubingUSA Great Lakes Championship 2024,First round,1,4.26,5.38,5.55,5.45,5.14,7.44,4.26
Luke Garrett,DuPage Fall 2024,Final,2,4.38,6.74,7.12,5.71,4.38,9.13,7.40
Luke Garrett,DuPage Fall 2024,Semi Final,2,5.49,6.07,5.49,5.77,5.53,6.92,7.84
Luke Garrett,DuPage Fall 2024,Second round,6,6.41,7.74,7.10,6.41,6.56,12.36,9.56
Luke Garrett,DuPage Fall 2024,First round,1,5.31,5.88,6.52,5.31,5.37,5.76,6.52
Luke Garrett,Y-Perms Near the Y-Bridge Zanesville 2024,Final,1,5.41,6.10,6.09,5.41,5.83,6.84,6.37
Luke Garrett,Y-Perms Near the Y-Bridge Zanesville 2024,Second round,1,4.95,5.38,5.46,4.95,9.04,4.96,5.73
Luke Garrett,Y-Perms Near the Y-Bridge Zanesville 2024,First round,1,4.75,7.04,4.75,6.09,4.92,10.96,10.12
Luke Garrett,Oldham County Cubing 2024,Final,1,4.83,6.61,7.02,7.31,5.49,4.83,10.97
Luke Garrett,Oldham County Cubing 2024,Second round,1,5.12,6.41,6.48,6.67,5.12,6.77,6.08
Luke Garrett,Oldham County Cubing 2024,First round,1,5.55,5.85,5.55,6.01,5.96,7.71,5.58
Luke Garrett,Rubik's WCA North American Championship 2024,Final,6,4.51,6.36,6.86,10.06,6.30,4.51,5.92
Luke Garrett,Rubik's WCA North American Championship 2024,Semi Final,3,5.33,6.10,5.70,6.45,6.44,5.33,6.17
Luke Garrett,Rubik's WCA North American Championship 2024,Second round,41,6.10,7.57,6.10,8.40,6.31,8.77,7.99
Luke Garrett,Rubik's WCA North American Championship 2024,First round,11,5.32,6.53,6.62,6.38,5.32,6.58,12.73
Luke Garrett,Rubik's North America All-Stars 2024,Final,7,5.47,6.50,8.80,5.47,6.25,5.80,7.45
Luke Garrett,Rubik's North America All-Stars 2024,Second round,1,5.43,5.68,5.61,5.93,5.49,5.43,6.25
Luke Garrett,Rubik's North America All-Stars 2024,First round,11,5.38,7.09,6.41,8.63,6.68,8.19,5.38
Luke Garrett,Green Summer 2024,Final,1,4.42,5.98,7.99,5.33,4.42,7.33,5.29
Luke Garrett,Green Summer 2024,Second round,1,5.18,5.90,6.06,6.16,5.61,5.18,6.03
Luke Garrett,Green Summer 2024,First round,1,4.76,5.42,6.16,5.26,5.81,5.18,4.76
Luke Garrett,CubingUSA Southeast Championship 2024,Final,2,5.60,6.03,5.60,5.97,5.88,6.23,6.48
Luke Garrett,CubingUSA Southeast Championship 2024,Semi Final,1,4.85,5.65,4.85,5.59,6.16,5.19,6.91
Luke Garrett,CubingUSA Southeast Championship 2024,Second round,5,5.91,6.68,7.34,6.62,6.92,5.91,6.49
Luke Garrett,CubingUSA Southeast Championship 2024,First round,1,4.78,6.38,8.53,7.62,5.31,4.78,6.20
Luke Garrett,Gem City Donut DNF 2024,Final,1,4.20,6.11,7.69,5.61,6.28,6.44,4.20
Luke Garrett,Gem City Donut DNF 2024,Second round,1,5.31,6.02,7.95,5.89,5.69,6.48,5.31
Luke Garrett,Gem City Donut DNF 2024,First round,1,4.21,5.69,4.21,4.51,6.88,5.68,8.13
Luke Garrett,Northern Kentucky 2024,Final,1,5.15,5.85,5.15,6.20,8.12,5.60,5.76
Luke Garrett,Northern Kentucky 2024,Second round,1,5.23,6.21,6.05,6.95,5.63,7.07,5.23
Luke Garrett,Northern Kentucky 2024,First round,2,6.04,7.46,6.04,7.81,7.36,7.21,8.72
Aaron Huynh,Cubes Canes & Joy Vegas 2024,Final,1,4.52,7.29,7.56,4.52,7.65,6.66,7.75
Aaron Huynh,Cubes Canes & Joy Vegas 2024,Second round,2,6.04,8.01,6.04,8.07,9.50,8.31,7.65
Aaron Huynh,Cubes Canes & Joy Vegas 2024,First round,1,5.88,8.03,9.16,7.58,11.01,7.34,5.88
Aaron Huynh,Wichita Speedcubing Fall 2024,Final,1,5.79,6.72,7.02,6.57,6.89,6.69,5.79
Aaron Huynh,Wichita Speedcubing Fall 2024,Second round,1,5.27,6.71,6.19,6.86,5.27,16.20,7.08
Aaron Huynh,Wichita Speedcubing Fall 2024,First round,1,6.63,6.90,6.92,9.03,6.63,7.04,6.75
Aaron Huynh,Colorado Championship 2024,Final,1,6.25,7.41,8.00,6.46,6.25,9.84,7.76
Aaron Huynh,Colorado Championship 2024,Semi Final,4,6.23,8.10,9.84,8.42,7.20,6.23,8.68
Aaron Huynh,Colorado Championship 2024,Second round,4,6.88,8.38,7.75,7.91,6.88,9.49,11.40
Aaron Huynh,Colorado Championship 2024,First round,5,7.45,8.89,9.41,8.63,7.45,8.63,9.73
Aaron Huynh,Battle at Fort Hays KS 2024,Final,1,6.06,6.63,6.64,6.91,6.61,6.65,6.06
Aaron Huynh,Battle at Fort Hays KS 2024,Second round,1,5.02,7.65,7.51,9.52,7.13,8.32,5.02
Aaron Huynh,Battle at Fort Hays KS 2024,First round,1,5.39,7.03,6.73,8.76,5.39,6.51,7.85
Aaron Huynh,KS Air Capital Cubing 2024,Final,1,5.73,7.10,7.08,6.20,8.01,5.73,10.11
Aaron Huynh,KS Air Capital Cubing 2024,Second round,1,5.69,7.77,8.79,8.91,5.92,5.69,8.60
Aaron Huynh,KS Air Capital Cubing 2024,First round,1,6.06,6.73,7.53,6.92,6.47,6.81,6.06
Aaron Huynh,KCKC 5 Fast and Furious 2024,Final,1,3.46,6.57,6.77,6.65,6.29,10.23,3.46
Aaron Huynh,KCKC 5 Fast and Furious 2024,Second round,1,5.01,7.38,7.18,8.00,5.01,7.54,7.42
Aaron Huynh,KCKC 5 Fast and Furious 2024,First round,1,5.56,6.84,5.73,5.56,7.48,9.00,7.31
Aaron Huynh,CubingUSA Heartland Championship 2024,Final,2,6.72,6.99,6.73,11.40,7.53,6.72,6.72
Aaron Huynh,CubingUSA Heartland Championship 2024,Second round,5,7.30,8.42,7.30,DNF,7.68,7.51,10.07
Aaron Huynh,CubingUSA Heartland Championship 2024,First round,3,5.76,7.22,7.25,7.26,7.15,5.76,8.40
Aaron Huynh,Missouri Summer Kickoff 2024,Final,1,6.11,6.33,8.66,6.20,6.11,6.27,6.53
Aaron Huynh,Missouri Summer Kickoff 2024,Second round,1,5.96,7.50,7.18,5.96,7.98,7.94,7.38
Aaron Huynh,Missouri Summer Kickoff 2024,First round,1,6.06,6.59,6.22,6.06,7.18,8.36,6.37
Aaron Huynh,KCKC 3 Cubing for Cake 2023,Final,1,8.00,8.79,8.83,8.00,9.65,8.41,9.12
Aaron Huynh,KCKC 3 Cubing for Cake 2023,Second round,1,5.66,6.98,7.83,7.04,9.45,6.06,5.66
Aaron Huynh,KCKC 3 Cubing for Cake 2023,First round,1,5.58,7.67,9.47,5.58,7.93,8.04,7.05
Aaron Huynh,Battle at Fort Hays Kansas 2023,Final,1,4.57,5.63,4.88,4.57,7.95,5.90,6.12
Aaron Huynh,Battle at Fort Hays Kansas 2023,Second round,3,7.33,8.64,9.47,7.83,8.78,9.30,7.33
Aaron Huynh,Battle at Fort Hays Kansas 2023,First round,1,5.75,7.27,5.75,9.91,6.67,8.09,7.06
Aaron Huynh,Air Capital Cubing Summer 2023,Final,2,6.48,7.00,7.08,7.17,7.30,6.74,6.48
Aaron Huynh,Air Capital Cubing Summer 2023,Second round,2,6.57,8.36,6.89,6.57,8.15,10.08,10.05
Aaron Huynh,Air Capital Cubing Summer 2023,First round,2,5.92,7.35,7.62,7.95,7.03,7.39,5.92
Aaron Huynh,Arkansolve 2023,Final,1,6.63,7.12,8.15,7.68,6.63,6.78,6.89
Aaron Huynh,Arkansolve 2023,Second round,1,6.94,7.67,7.06,6.94,8.88,8.09,7.87
Aaron Huynh,Arkansolve 2023,First round,1,6.79,8.20,DNF,6.79,9.53,7.19,7.88
Aaron Huynh,Wichita Art Museum Winter 2023,Final,2,6.90,7.98,6.90,7.63,10.27,8.26,8.05
Aaron Huynh,Wichita Art Museum Winter 2023,Second round,1,6.15,6.36,9.41,6.52,6.15,6.41,6.15
Aaron Huynh,Wichita Art Museum Winter 2023,First round,2,6.25,7.52,8.43,7.93,7.56,6.25,7.08
Aaron Huynh,Cube Even More in Wichita 2022,Final,2,7.22,8.35,7.26,10.52,7.22,11.22,7.26
Aaron Huynh,Cube Even More in Wichita 2022,Second round,1,6.92,7.34,7.12,7.06,6.92,7.86,7.83
Aaron Huynh,Cube Even More in Wichita 2022,First round,1,5.14,7.33,8.86,6.43,7.53,8.03,5.14
Aaron Huynh,CubingUSA Southern Championship 2022,Final,2,6.66,7.70,8.52,6.66,10.47,7.44,7.14
Aaron Huynh,CubingUSA Southern Championship 2022,Second round,1,6.97,7.57,7.74,7.62,6.97,8.48,7.35
Aaron Huynh,CubingUSA Southern Championship 2022,First round,1,6.30,7.47,6.30,7.98,7.52,6.92,11.67
Aaron Huynh,Kansas Cubing Open Spring 2022,Final,2,6.31,6.94,6.31,9.37,7.47,6.65,6.69
Aaron Huynh,Kansas Cubing Open Spring 2022,Second round,2,6.75,8.26,8.17,8.99,6.75,7.93,8.67
Aaron Huynh,Kansas Cubing Open Spring 2022,First round,2,6.65,8.75,9.98,9.23,6.65,7.46,9.57
Aaron Huynh,Kansas Cubing Open Winter 2022,Final,1,6.63,7.20,6.63,7.41,6.67,7.60,7.53
Aaron Huynh,Kansas Cubing Open Winter 2022,Second round,1,6.04,6.63,6.69,6.04,6.78,6.42,7.93
Aaron Huynh,Kansas Cubing Open Winter 2022,First round,1,6.47,7.20,8.53,7.41,6.88,6.47,7.31
Aaron Huynh,Oklahoma Fall AM 2021,Final,1,6.50,8.23,6.50,9.38,8.20,12.21,7.12
Aaron Huynh,Oklahoma Fall AM 2021,Second round,1,6.02,8.41,9.02,6.02,7.75,10.07,8.46
Aaron Huynh,Oklahoma Fall AM 2021,First round,1,6.87,8.24,7.72,9.02,8.00,9.00,6.87
Aaron Huynh,Trinity Valley Spring 2020,Final,1,6.46,7.65,9.01,6.46,7.99,7.91,7.06
Aaron Huynh,Trinity Valley Spring 2020,Second round,1,7.39,8.21,7.51,10.55,7.39,9.61,7.50
Aaron Huynh,Trinity Valley Spring 2020,First round,1,7.95,8.62,10.47,7.95,8.41,8.05,9.39
Aaron Huynh,Oklahoma 2020,Final,1,7.87,8.24,7.87,8.64,8.12,7.96,9.43
Aaron Huynh,Oklahoma 2020,Second round,1,6.91,7.58,8.03,7.37,6.91,9.11,7.33
Aaron Huynh,Oklahoma 2020,First round,2,6.03,8.44,11.11,10.94,6.03,6.68,7.71
Aaron Huynh,OU Winter 2019,Final,1,6.48,7.57,6.48,7.46,8.08,8.02,7.24
Aaron Huynh,OU Winter 2019,Second round,1,6.27,7.09,6.78,7.75,7.24,6.27,7.26
Aaron Huynh,OU Winter 2019,First round,1,4.76,7.02,9.18,4.76,7.33,7.55,6.17
Aaron Huynh,Oklahoma Fall 2019,Final,2,6.25,8.35,9.96,8.35,16.11,6.25,6.74
Aaron Huynh,Oklahoma Fall 2019,Second round,1,6.44,7.85,8.08,7.81,7.66,6.44,8.34
Aaron Huynh,Oklahoma Fall 2019,First round,1,6.94,7.77,8.24,7.22,10.15,7.84,6.94
Aaron Huynh,Dallas Warm Up 2019,Final,3,7.28,8.39,8.39,8.57,8.22,9.38,7.28
Aaron Huynh,Dallas Warm Up 2019,Second round,2,7.59,8.50,8.35,8.66,8.50,9.38,7.59
Aaron Huynh,Dallas Warm Up 2019,First round,3,7.76,8.81,9.75,7.76,8.55,9.70,8.19
Aaron Huynh,BarbeCubing Spring 2019,Final,1,7.31,7.99,7.50,7.68,8.80,9.12,7.31
Aaron Huynh,BarbeCubing Spring 2019,Second round,1,6.77,8.85,6.77,8.91,8.35,9.28,9.54
Aaron Huynh,BarbeCubing Spring 2019,First round,1,7.08,8.22,8.11,9.43,9.55,7.13,7.08
Aaron Huynh,Oklahoma Open 2019,Final,3,7.04,8.66,8.38,7.04,8.66,8.94,9.11
Aaron Huynh,Oklahoma Open 2019,Second round,3,7.12,8.80,8.02,7.12,9.77,9.55,8.83
Aaron Huynh,Oklahoma Open 2019,First round,4,7.71,8.80,9.80,9.56,7.94,8.89,7.71
Aaron Huynh,Arkansas Cubing Drive 2018,Final,1,7.81,8.58,8.32,10.23,8.01,7.81,9.41
Aaron Huynh,Arkansas Cubing Drive 2018,Second round,1,7.45,8.47,7.45,9.88,8.77,7.72,8.92
Aaron Huynh,Arkansas Cubing Drive 2018,First round,3,9.36,11.20,19.32,10.83,10.34,9.36,12.42
Aaron Huynh,Respect Kansas 2018,Final,1,7.51,8.35,8.20,9.18,10.22,7.68,7.51
Aaron Huynh,Respect Kansas 2018,Second round,1,7.52,8.64,9.19,8.80,8.14,8.99,7.52
Aaron Huynh,Respect Kansas 2018,First round,1,7.44,8.35,8.27,8.21,10.61,7.44,8.58
Yusheng Du,Xi'an New Year 2025,Final,11,6.90,9.14,9.25,6.90,8.24,9.92,13.53
Yusheng Du,Xi'an New Year 2025,Second round,7,5.62,7.25,10.81,5.62,7.84,6.92,6.99
Yusheng Du,Xi'an New Year 2025,First round,7,5.83,7.26,7.85,5.83,7.18,DNF,6.76
Yusheng Du,Yancheng Open 2024,Final,7,5.71,6.42,6.69,6.21,5.71,DNF,6.35
Yusheng Du,Yancheng Open 2024,Second round,5,5.12,6.50,7.18,5.59,6.80,7.12,5.12
Yusheng Du,Yancheng Open 2024,First round,10,6.51,7.03,9.50,6.51,7.13,7.46,6.51
Yusheng Du,Zhengzhou Open 2024,Final,8,5.54,6.47,7.65,6.25,6.34,5.54,6.81
Yusheng Du,Zhengzhou Open 2024,Second round,5,5.81,6.80,8.25,6.83,6.39,5.81,7.17
Yusheng Du,Zhengzhou Open 2024,First round,19,6.88,8.16,8.00,8.57,11.13,7.92,6.88
Yusheng Du,Shenzhen Open 2024,Final,18,8.55,DNF,DNF,8.55,DNS,DNS,DNS
Yusheng Du,Shenzhen Open 2024,Second round,8,5.74,6.80,5.74,6.36,6.96,7.08,7.49
Yusheng Du,Shenzhen Open 2024,First round,8,6.69,7.52,8.79,6.69,7.43,7.08,8.06
Yusheng Du,Rubik's WCA Asian Championship 2024,Second round,149,7.71,DNF,8.48,7.71,7.94,DNF,DNS
Yusheng Du,Rubik's WCA Asian Championship 2024,First round,30,6.00,6.96,7.63,6.00,6.37,6.87,DNF
Yusheng Du,Harbin Open 2024,Final,5,5.46,7.64,7.37,10.01,5.53,10.88,5.46
