Date,Name of Event,Country,City,Venue,Comepetitor Limit
Feb 14 2025,Revenge Minx Israel 2025,Israel,Rishon LeZion,Beit Ha'am Rishon Letzion,60
Feb 14-15 2025,Franconia Spring 2025,Germany,Nuremberg,Bürgersaal,70
Feb 15 2025,Acrópolis Bucaramanga 2025,Colombia,Bucaramanga,Centro comercial Acropolis,50
Feb 15 2025,Battle of Alberta 2025,Canada,Red Deer, Red Deer Polytechnic,150
Feb 15 2025,Blizzard Blitz NY 2025,United States,Pittsford,Pittsford Community Church,85
Feb 15 2025,Cube4fun Lublin Saturday 2025,Poland,Lublin,Zespół Szkół Samochodowych im. Stanisława Syroczyńskiego w Lublinie,75
Feb 15 2025,GA Cubers PBQ 2025,United States,Atlanta,Instructional Center,40
Feb 15 2025,Gdańsk Cubing Day 2025,Poland,Gdańsk,VIII Liceum Ogólnokształcące w Gdańsku im. Komisji Edukacji Narodowej,60
Feb 15 2025,Gurizinho em Osório 2025,Brazil,Osório,Osório AABB Osório,50
Feb 15 2025,Kublördag Jönköping VII - 2025,Sweden ,Jönköping,Per Brahegymnasiet,75
Feb 15 2025,Lex Mini V 2025,United States,Lexington,Lexington Public Library Tates Creek Branch,24
Feb 15 2025,Lopes Up AZ 2025,United States,Phoenix,Antelope Gym,100
Feb 15 2025,Reno Mini Winter 2025,United States,Reno,University of Nevada Reno,40
Feb 15 2025,Seomara Side & Blind 2025,Portugal,Amadora,ES Seomara da Costa Primo,70
Feb 15-16 2025,Amore Amorebieta Open 2025,Spain,Amorebieta,Zelaieta,150
Feb 15-16 2025,Avenida Chile XX 2025,Colombia,Bogotá,Centro Comercial Avenida Chile,200
Feb 15-16 2025,Brilliant Ballarat 2025,Australia,Ballarat,  St Patrick's Cathedral Hall,120
Feb 15-16 2025,Campos do Jordão Open 2025,Brazil,Campos do Jordão,Centro de Eventos Andre Franco Montoro,80
Feb 15-16 2025,Central Asian Tour Bishkek 2025,Kyrgyzstan,Bishkek,Oriflame,40
Feb 15-16 2025,Charente Open 2025,France,Sireuil,Salle Omnisports,100
Feb 15-16 2025,Chelles Open 2025,France,Chelles,Théâtre de Chelles,110
Feb 15-16 2025,Crewe Winter 2025,United Kingdom,Crewe,Crewe Alexandra Football Club,80
Feb 15-16 2025,Cube n' Chill in Chiang Mai 2025,Thailand,Chiang Mai,The Pantip Lifestyle Hub,80
Feb 15-16 2025,Marble City Cubing IE 2025,Ireland,Kilkenny,The Newpark Hotel Kilkenny,100
Feb 15-16 2025,Mumbai Cube Challenge 2025,India,Mumbai,JK House,150
Feb 15-16 2025,Paraíso Summer DC 2025,Brazil,Duque de Caxias,Centro Educacional Paraíso,55
Feb 15-16 2025,Plzeň Winter 2025,Czech Republic,Plzeň,Papírna Plzeň,60
Feb 15-16 2025,PSKG Premiere Cubing 2025,Indonesia,Jakarta,Penabur Secondary Kelapa Gading (PSKG),120
Feb 15-16 2025,Ruta Cubera Salamanca SE 2025,Mexico,Salamanca,Deportiva Sur,100
Feb 15-16 2025,San Valencube Huancayo 2025,Peru,Huancayo,Colegio Unión Internacional,90
Feb 15-16 2025,Sanda Winter 2025,Italy,San Daniele del Friuli,Hotel Relais Picaron,50
Feb 15-16 2025,Sandnes Winter 2025,Norway,Sandnes,Austrått Bydelshus,70
Feb 15-16 2025,Skewb on the Madison Snow 2025,United States ,Madison,Monona Terrace,137
Feb 15-16 2025,Swisscubing Cup II 2025,Switzerland,Münsterlingen,Zelglihalle,80
Feb 15-16 2025,Trikala Open 2025,Greece,Trikala,Ananti Hotel Trikala,120
Feb 15-16 2025,URJC Open 2025,Spain,Móstoles,Universidad Rey Juan Carlos  Campus de Móstoles,100
Feb 15-16 2025,Verano on Asunción 2025,Paraguay,Asunción,Universidad Comunera,60
Feb 15-16 2025,Winter Side Wrocław 2025,Poland,Wrocław,Centrum Aktywności Lokalnej Chopina,35
Feb 15-16 2025,XMUM Cube Open 2025,Malaysia,Sepang,Xiamen University Malaysia,160
Feb 16 2025,Cambridge Cube Clash 2025,United States,Cambridge,The King Open School,100
Feb 16 2025,Cube Against Cancer Edmond 2025,United States,Edmond,Hilton Garden Inn Edmond,65
Feb 16 2025,Cube4fun Biała Podlaska 2025,Poland,Biała Podlaska,IV Liceum Ogólnokształcące im. Stanisława Staszica w Białej Podlaskiej,75
Feb 16 2025,Cubing Returns Nagpur 2025,India,Nagpur,"Somalwar High School & Junior College, Nikalas Branch",75
Feb 16 2025,Finnish FMC Series III 2025,Finland,Helsinki,VERK,12
Feb 16 2025,Greater Toronto 2025,Canada,Oshawa,Ontario Tech University/Durham College,350
Feb 16 2025,NxNs at Finprov 2025,India,Alappuzha,Finprov Learning Centre,30
Feb 16 2025,Singapore Max February 2025,Singapore,Singapore,Cecil Building,25
Feb 16 2025,Tokyo Open AM Winter 2025,Japan,Ota,池上会館 (Ikegamikaikan),56
Feb 16 2025,Tokyo Open FMC Winter 2025,Japan,Ota,池上会館 (Ikegamikaikan),30
Feb 16 2025,Tokyo Open PM Winter 2025,Japan,Ota,池上会館(Ikegamikaikan),56
Feb 17 2025,Uppsalaligan 2: Diamond - 2025,Sweden,Uppsala,Österledskyrkan,50
Feb 19 2025,Stockholmsligan - Nyati 2025,Sweden,Sollentuna,Arena Satelliten,50
Feb 20-21 2025,Al Bireh 2025,Palestine,Al-Bireh,Baladeya Al Bireh,50
Feb 21  2025,Hala February Kuwait 2025,Kuwait,Hawally,The Promenade mall,90
Feb 21-23 2025,Dębica Cubing Winter 2025,Poland,Dębica,Liceum Ogólnokształcące nr II w Dębicy,70
Feb 22 2025,5 Valles Mexicali 2025,Mexico,Mexicali,Plaza La Cachanilla,50
Feb 22 2025,Bay Area Slowcubin 2025,United States,San Jose,John Muir Middle School,80
Feb 22 2025,Big & Blind CBBA 2025,Bolivia,Cochabamba,Condominio Marbella II,30
Feb 22 2025,Chill Cubing in Chilliwack 2025,Canada,Chilliwack,Chilliwack Alliance Church,90
Feb 22 2025,Cincinnati Speed Solving 2025,United States,Cincinnati,Nagel Middle School,120
Feb 22 2025,Cube4fun Warsaw Saturday 2025,Poland,Warszawa,Szkoła Podstawowa nr 358 im. hetmana Jana Zamoyskiego,150
Feb 22 2025,CubingMGL Lunar New Year 2025,Mongolia,Ulaanbaatar,Morning Star Event Hall,100
Feb 22 2025,D21 Delhi Cube Open A 2025,India,New Delhi,Pacific Mall Atrium,30
Feb 22 2025,D21 Delhi Cube Open B 2025,India,New Delhi,Pacific Mall Atrium,30
Feb 22 2025,Delacuesta al Cubo VI 2025,Colombia,Piedecuesta,Centro comercial Delacuesta,60
Feb 22 2025,Denver Mini Blind 2025,United States,Denver,Denver Public Library: Bob Ragland Branch,30
Feb 22 2025,FSUbers 8.0 2025,United States,Tallahassee,Student Services Building Florida State University,110
Feb 22 2025,INPT Olympiads 2025,Morocco,Rabat,Institut National des Postes et Télécommunications,50
Feb 22 2025,LA PRE Pucallpa Speedcubing 2025,Peru,Pucallpa,Colegio y Academia LA PRE,40
Feb 22 2025,Landvetter Cold Open 2025,Sweden,Landvetter,Landvetter Kulturhus,50
Feb 22 2025,Manchester February 2025,United Kingdom,Manchester, Wythenshawe Forum,100
Feb 22 2025,Metropolis Lara League | 2025,Venezuela,Barquisimeto,C.C. Metrópolis,30
Feb 22 2025,Nidaros FMC Winter 2025,Norway,Trondheim,Adolf Øyen-bygget NTNU Gløshaugen,30
Feb 22 2025,Ruta Cubera: Jaén Open 2025,Spain,Jaén,Colegio Guadalimar-Altocastillo,50
Feb 22 2025,See GA: Cloudland Canyon A 2025,United States,Rising Fawn,Cloudland Canyon State Park,70
Feb 22 2025,Spokane Big Cubes 2025,United States,Spokane,Spokane Library Shadle Branch,30
Feb 22 2025,Vilafranca Open 2025,Spain,Vilafranca del Penedès,Espai Jove la Nau,60
Feb 22-23  2025,Aarhus Winter 2025,Denmark,Aarhus,Fjordsgade forenings- og fritidshus,60
Feb 22-23  2025,CEMS ao Cubo Vila Velha 2025,Brazil,Vila Velha,CEMS - Centro Educacional Movimento do Saber,60
Feb 22-23 2025,Central Asian Tour Tashkent 2025,Uzbekistan,Tashkent,Interhouse school,100
Feb 22-23 2025,CFL Goes Sideways Rogów 2025,Poland,Rogów,JODELKA Dom Studencki SGGW,35
Feb 22-23 2025,Cork Spring 2025,Ireland,Cork,Devere Hall,100
Feb 22-23 2025,CubbOpen Roma 2025,Italy,Roma,Istituto Comprensivo Marco Polo,70
Feb 22-23 2025,Cubing in Ružinov: February 2025,Slovakia,Bratislava,DK Ružinov,55
Feb 22-23 2025,Elmsford Winter 2025,United States,Elmsford,Cubicle Auxiliary Building,14
Feb 22-23 2025,Hampshire Winter 2025,United Kingdom,Eastleigh,Barton Peveril Sixth Form College,140
Feb 22-23 2025,Hurlubiks Cube Mouscron 2025,Belgium,Mouscron,Centre Marius Staquet - Salle Jacques Brel,180
Feb 22-23 2025,Imus Speedcubing Open II 2025,Philippines,Imus,Robinsons Imus,90
Feb 22-23 2025,Istanbul February Weekend 2025,Turkey,Istanbul,Metrocity Alışveriş Merkezi,100
Feb 22-23 2025,Kyiv Big & Blind Winter 2025,Ukraine,Kyiv,Rivvorking,55
Feb 22-23 2025,Maritimes 2025,Canada,Truro,Inn on Prince Hotel & Conference Centre Truro,120
Feb 22-23 2025,Mississippi Championship 2025,United States,Natchez,Natchez Convention Center,85
Feb 22-23 2025,Osijek Open 2025,Croatia,Osijek,Ekonomski fakultet u Osijeku,60
Feb 22-23 2025,PA-retzel Mania Winter 2025,United States,Lancaster,Lancaster County Convention Center,500
Feb 22-23 2025,Paradise Park Bangkok NxNxN 2025,Thailand,Bangkok,Paradise Park,200
Feb 22-23 2025,Pitic Open 2025,Mexico,Hermosillo,Casa de la Cultura de Sonora,60
Feb 22-23 2025,Pragyan Cube Open 2025,India,Trichy,National Institute of Technology Tiruchirappalli,85
Feb 22-23 2025,PUCP Cubing Festival IV 2025,Peru,Lima,Pontificia Universidad Católica del Perú,130
Feb 22-23 2025,RNFP 2025,Germany,Laudenbach,Georg-Bickel-Haus,40
Feb 22-23 2025,Risbjerg Februar 2025,Denmark,Hvidovre,Risbjergskolen Aulaen,50
Feb 22-23 2025,Spark Melbourne February 2025,Australia,Melbourne,Cru+ Coffee Roastery,130
Feb 22-23 2025,Südtirol Open 2025,Italy,Laives,Black Box,70
Feb 22-23 2025,Synocubix Gandhinagar 2025,India,Gandhinagar,Dhirubai Ambani Institute of Information and Communication Technology (DA-IICT) Gandhinagar,80
Feb 23 2025,Bay Area Side Events Day 2025,United States,San Jose,Andrew P. Hill High School,225
Feb 23 2025,D21 Delhi Cube Open C 2025,India,New Delhi,Pacific Mall Atrium,30
Feb 23 2025,D21 Delhi Cube Open D 2025,India,New Delhi,Pacific Mall Atrium,30
Feb 23 2025,Flushing Glow Open AM 2025,United States,Flushing New York,Glow Cultural Center,45
Feb 23 2025,Flushing Glow Open PM 2025,United States,Flushing New York,Glow Cultural Center,45
Feb 23 2025,La Estacion Cali 2025,Colombia,New Delhi,Centro Comercial La Estación,60
Feb 23 2025,MorrOpen 2025,Chile,Arica,Centro Cultural Junta de Adelanto,40
Feb 23 2025,See GA: Cloudland Canyon B 2025,United States,Rising Fawn Georgia,Cloudland Canyon State Park,70
Feb 23 2025,SG Small and Sides Feb 2025,Singapore,Singapore,Cecil Building,38
Feb 23 2025,Swoop in and Solve Oxford 2025,United States,Arica,Armstrong Student Center,150
Feb 25 2025,Olte Februar Füürobe 2025,Switzerland,olten,Saal Pauluskirche,50
Feb 25 2025,Wolverine Weekdays 1 Orem 2025,United States,Orem,Sorenson Student Center,40

